date,datekey,year,quarter,month,weekday,weekday_name
2015-01-01,1012015,2015,1,1,3,Thursday
2015-01-02,1022015,2015,1,1,4,Friday
2015-01-03,1032015,2015,1,1,5,Saturday
2015-01-04,1042015,2015,1,1,6,Sunday
2015-01-05,1052015,2015,1,1,0,Monday
2015-01-06,1062015,2015,1,1,1,Tuesday
2015-01-07,1072015,2015,1,1,2,Wednesday
2015-01-08,1082015,2015,1,1,3,Thursday
2015-01-09,1092015,2015,1,1,4,Friday
2015-01-10,1102015,2015,1,1,5,Saturday
2015-01-11,1112015,2015,1,1,6,Sunday
2015-01-12,1122015,2015,1,1,0,Monday
2015-01-13,1132015,2015,1,1,1,Tuesday
2015-01-14,1142015,2015,1,1,2,Wednesday
2015-01-15,1152015,2015,1,1,3,Thursday
2015-01-16,1162015,2015,1,1,4,Friday
2015-01-17,1172015,2015,1,1,5,Saturday
2015-01-18,1182015,2015,1,1,6,Sunday
2015-01-19,1192015,2015,1,1,0,Monday
2015-01-20,1202015,2015,1,1,1,Tuesday
2015-01-21,1212015,2015,1,1,2,Wednesday
2015-01-22,1222015,2015,1,1,3,Thursday
2015-01-23,1232015,2015,1,1,4,Friday
2015-01-24,1242015,2015,1,1,5,Saturday
2015-01-25,1252015,2015,1,1,6,Sunday
2015-01-26,1262015,2015,1,1,0,Monday
2015-01-27,1272015,2015,1,1,1,Tuesday
2015-01-28,1282015,2015,1,1,2,Wednesday
2015-01-29,1292015,2015,1,1,3,Thursday
2015-01-30,1302015,2015,1,1,4,Friday
2015-01-31,1312015,2015,1,1,5,Saturday
2015-02-01,2012015,2015,1,2,6,Sunday
2015-02-02,2022015,2015,1,2,0,Monday
2015-02-03,2032015,2015,1,2,1,Tuesday
2015-02-04,2042015,2015,1,2,2,Wednesday
2015-02-05,2052015,2015,1,2,3,Thursday
2015-02-06,2062015,2015,1,2,4,Friday
2015-02-07,2072015,2015,1,2,5,Saturday
2015-02-08,2082015,2015,1,2,6,Sunday
2015-02-09,2092015,2015,1,2,0,Monday
2015-02-10,2102015,2015,1,2,1,Tuesday
2015-02-11,2112015,2015,1,2,2,Wednesday
2015-02-12,2122015,2015,1,2,3,Thursday
2015-02-13,2132015,2015,1,2,4,Friday
2015-02-14,2142015,2015,1,2,5,Saturday
2015-02-15,2152015,2015,1,2,6,Sunday
2015-02-16,2162015,2015,1,2,0,Monday
2015-02-17,2172015,2015,1,2,1,Tuesday
2015-02-18,2182015,2015,1,2,2,Wednesday
2015-02-19,2192015,2015,1,2,3,Thursday
2015-02-20,2202015,2015,1,2,4,Friday
2015-02-21,2212015,2015,1,2,5,Saturday
2015-02-22,2222015,2015,1,2,6,Sunday
2015-02-23,2232015,2015,1,2,0,Monday
2015-02-24,2242015,2015,1,2,1,Tuesday
2015-02-25,2252015,2015,1,2,2,Wednesday
2015-02-26,2262015,2015,1,2,3,Thursday
2015-02-27,2272015,2015,1,2,4,Friday
2015-02-28,2282015,2015,1,2,5,Saturday
2015-03-01,3012015,2015,1,3,6,Sunday
2015-03-02,3022015,2015,1,3,0,Monday
2015-03-03,3032015,2015,1,3,1,Tuesday
2015-03-04,3042015,2015,1,3,2,Wednesday
2015-03-05,3052015,2015,1,3,3,Thursday
2015-03-06,3062015,2015,1,3,4,Friday
2015-03-07,3072015,2015,1,3,5,Saturday
2015-03-08,3082015,2015,1,3,6,Sunday
2015-03-09,3092015,2015,1,3,0,Monday
2015-03-10,3102015,2015,1,3,1,Tuesday
2015-03-11,3112015,2015,1,3,2,Wednesday
2015-03-12,3122015,2015,1,3,3,Thursday
2015-03-13,3132015,2015,1,3,4,Friday
2015-03-14,3142015,2015,1,3,5,Saturday
2015-03-15,3152015,2015,1,3,6,Sunday
2015-03-16,3162015,2015,1,3,0,Monday
2015-03-17,3172015,2015,1,3,1,Tuesday
2015-03-18,3182015,2015,1,3,2,Wednesday
2015-03-19,3192015,2015,1,3,3,Thursday
2015-03-20,3202015,2015,1,3,4,Friday
2015-03-21,3212015,2015,1,3,5,Saturday
2015-03-22,3222015,2015,1,3,6,Sunday
2015-03-23,3232015,2015,1,3,0,Monday
2015-03-24,3242015,2015,1,3,1,Tuesday
2015-03-25,3252015,2015,1,3,2,Wednesday
2015-03-26,3262015,2015,1,3,3,Thursday
2015-03-27,3272015,2015,1,3,4,Friday
2015-03-28,3282015,2015,1,3,5,Saturday
2015-03-29,3292015,2015,1,3,6,Sunday
2015-03-30,3302015,2015,1,3,0,Monday
2015-03-31,3312015,2015,1,3,1,Tuesday
2015-04-01,4012015,2015,2,4,2,Wednesday
2015-04-02,4022015,2015,2,4,3,Thursday
2015-04-03,4032015,2015,2,4,4,Friday
2015-04-04,4042015,2015,2,4,5,Saturday
2015-04-05,4052015,2015,2,4,6,Sunday
2015-04-06,4062015,2015,2,4,0,Monday
2015-04-07,4072015,2015,2,4,1,Tuesday
2015-04-08,4082015,2015,2,4,2,Wednesday
2015-04-09,4092015,2015,2,4,3,Thursday
2015-04-10,4102015,2015,2,4,4,Friday
2015-04-11,4112015,2015,2,4,5,Saturday
2015-04-12,4122015,2015,2,4,6,Sunday
2015-04-13,4132015,2015,2,4,0,Monday
2015-04-14,4142015,2015,2,4,1,Tuesday
2015-04-15,4152015,2015,2,4,2,Wednesday
2015-04-16,4162015,2015,2,4,3,Thursday
2015-04-17,4172015,2015,2,4,4,Friday
2015-04-18,4182015,2015,2,4,5,Saturday
2015-04-19,4192015,2015,2,4,6,Sunday
2015-04-20,4202015,2015,2,4,0,Monday
2015-04-21,4212015,2015,2,4,1,Tuesday
2015-04-22,4222015,2015,2,4,2,Wednesday
2015-04-23,4232015,2015,2,4,3,Thursday
2015-04-24,4242015,2015,2,4,4,Friday
2015-04-25,4252015,2015,2,4,5,Saturday
2015-04-26,4262015,2015,2,4,6,Sunday
2015-04-27,4272015,2015,2,4,0,Monday
2015-04-28,4282015,2015,2,4,1,Tuesday
2015-04-29,4292015,2015,2,4,2,Wednesday
2015-04-30,4302015,2015,2,4,3,Thursday
