Region Id,Market,Order Region,Order Country,Order State,Order City
5871423228,Pacific Asia,Southeast Asia,Indonesia,Java Occidental,Bekasi
1793221086,Pacific Asia,South Asia,India,Rajastán,Bikaner
7731754247,Pacific Asia,Oceania,Australia,Queensland,Townsville
6331480446,Pacific Asia,Oceania,Australia,Queensland,Toowoomba
1689860540,Pacific Asia,Eastern Asia,China,Guangdong,Guangzhou
146523596,Pacific Asia,Eastern Asia,Japón,Tokio,Tokio
2243857535,Pacific Asia,Southeast Asia,Indonesia,Célebes Septentrional,Manado
8256575130,Pacific Asia,South Asia,India,Maharashtra,Sangli
5069627488,Pacific Asia,Eastern Asia,Corea del Sur,Seúl,Seúl
6096986136,Pacific Asia,South Asia,India,Madhya Pradesh,Jabalpur
3220047106,Pacific Asia,Oceania,Australia,Victoria,Geelong
2324577993,Pacific Asia,Oceania,Australia,Queensland,Brisbane
740845024,Pacific Asia,Oceania,Australia,Australia Occidental,Mandurah
9237256902,Pacific Asia,Eastern Asia,China,Guangxi,Guilin
5947378315,Pacific Asia,South Asia,India,Delhi,Delhi
6967724452,Pacific Asia,Eastern Asia,China,Gansu,Suzhou
8644659219,Pacific Asia,Southeast Asia,Singapur,Singapur,Singapur
8609777669,Pacific Asia,South Asia,India,Karnataka,Hubli
6222672256,Pacific Asia,Oceania,Australia,Nueva Gales del Sur,Wollongong
6682224461,Pacific Asia,Southeast Asia,Indonesia,Sumatra Septentrional,Medan
863178788,Pacific Asia,Oceania,Australia,Territorio de la Capital Australiana,Canberra
619663362,Pacific Asia,South Asia,India,Karnataka,Bangalore
3748994713,Pacific Asia,Eastern Asia,China,Zhejiang,Yiwu
8083151683,Pacific Asia,South Asia,India,Uttar Pradesh,Mirzapur
8625894325,Pacific Asia,West Asia,Turquía,Bursa,Bursa
432690931,Pacific Asia,Oceania,Australia,Australia del Sur,Murray Bridge
7656873125,Pacific Asia,West Asia,Turquía,Estambul,Kartal
8263060644,Pacific Asia,Eastern Asia,Mongolia,Ulán Bator,Ulan Bator
9712208656,Pacific Asia,West Asia,Turquía,Estambul,Estambul
2693743338,Pacific Asia,South Asia,India,Rajastán,Raipur
1289673325,USCA,West of USA ,Estados Unidos,Washington,Pasco
4135617160,USCA,West of USA ,Estados Unidos,California,Los Angeles
3478587018,USCA,West of USA ,Estados Unidos,California,San Francisco
3018873059,USCA,US Center ,Estados Unidos,Kansas,Overland Park
8378402393,Africa,West Africa,Nigeria,Cross River,Ugep
9309498796,Africa,Central Africa,República Democrática del Congo,Kinshasa,Kinshasa
828849503,Africa,West Africa,Senegal,Dakar,Dakar
9740876694,Africa,North Africa,Marruecos,Gran Casablanca,Casablanca
8436308014,Europe,Western Europe,Alemania,Renania del Norte-Westfalia,Dortmund
8864823861,Europe,Western Europe,Francia,Isla de Francia,Drancy
8014849790,Europe,Western Europe,Francia,Países del Loira,Nantes
2594436448,Europe,Western Europe,Países Bajos,Groningen,Groningen
4430532776,Europe,Northern Europe,Reino Unido,Inglaterra,Gateshead
6717761828,Europe,Northern Europe,Reino Unido,Inglaterra,Eastbourne
4755023909,Europe,Western Europe,Francia,Alsacia-Champaña-Ardenas-Lorena,Hayange
914571223,Europe,Northern Europe,Reino Unido,Inglaterra,Portsmouth
9522111413,Europe,Western Europe,Alemania,Renania del Norte-Westfalia,Gelsenkirchen
5663503308,Europe,Western Europe,Francia,Provenza-Alpes-Costa Azul,Nice
747205654,LATAM,Central America,Guatemala,Guatemala,Petapa
9927818905,LATAM,Central America,El Salvador,San Salvador,Mejicanos
2515893286,LATAM,Central America,Panamá,Chiriquí,David
